category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
"Fruits & Vegetables",Onion,25.00,16,3,21.00,1000,FALSE,1
"Fruits & Vegetables","Tomato Hybrid",42.00,16,3,35.00,1000,FALSE,1
"Fruits & Vegetables","Tender Coconut",51.00,15,3,43.00,58,FALSE,1
"Fruits & Vegetables","Coriander Leaves",20.00,15,3,17.00,100,FALSE,100
"Fruits & Vegetables","Ladies Finger",14.00,14,3,12.00,250,FALSE,250
"Fruits & Vegetables",Potato,35.00,17,3,29.00,1000,FALSE,1
"Fruits & Vegetables",Lemon,75.00,16,3,63.00,200,FALSE,200
"Fruits & Vegetables",Watermelon,58.00,15,3,49.00,58,FALSE,1
"Fruits & Vegetables","Capsicum Green",23.00,17,3,19.00,250,FALSE,250
"Fruits & Vegetables","Chilli Green",19.00,15,3,16.00,100,FALSE,100
"Fruits & Vegetables","Banana Robusta",29.00,17,3,24.00,348,FALSE,6
"Fruits & Vegetables","Garlic Indian",11.00,18,3,9.00,100,FALSE,100
"Fruits & Vegetables",Cauliflower,26.00,15,3,22.00,58,FALSE,1
"Fruits & Vegetables",Ginger,14.00,14,3,12.00,200,FALSE,200
"Fruits & Vegetables",Spinach,19.00,15,3,16.00,250,FALSE,250
"Fruits & Vegetables",Muskmelon,42.00,16,3,35.00,58,FALSE,1
"Fruits & Vegetables",Cabbage,15.00,13,3,13.00,58,FALSE,1
"Fruits & Vegetables",Methi,30.00,16,3,25.00,250,FALSE,250
"Fruits & Vegetables",Broccoli,36.00,16,3,30.00,500,FALSE,500
"Fruits & Vegetables",Sapota,30.00,16,3,25.00,348,FALSE,6
"Fruits & Vegetables",Onion,68.00,16,3,57.00,3000,FALSE,3
"Fruits & Vegetables",Potato,100.00,16,3,84.00,3000,FALSE,3
"Fruits & Vegetables","Orange Nagpur",82.00,15,3,69.00,232,FALSE,4
"Fruits & Vegetables","Mint Leaves",11.00,18,3,9.00,100,FALSE,100
"Fruits & Vegetables","Beans French",33.00,15,3,28.00,250,FALSE,250
"Fruits & Vegetables","Bottle Gourd",26.00,15,3,22.00,58,FALSE,1
"Fruits & Vegetables","Banana Elaichi",58.00,15,3,49.00,348,FALSE,6
"Fruits & Vegetables","Coconut Big",36.00,16,3,30.00,58,FALSE,1
"Fruits & Vegetables","Curry Leaves",13.00,15,3,11.00,50,FALSE,50
"Fruits & Vegetables","Brinjal Bharta",19.00,15,3,16.00,58,FALSE,1
"Fruits & Vegetables","Lettuce Iceberg",25.00,16,3,21.00,250,FALSE,250
"Fruits & Vegetables",Papaya,54.00,16,3,45.00,58,FALSE,1
"Fruits & Vegetables","Apple Shimla",142.00,16,3,119.00,232,FALSE,4
"Fruits & Vegetables","Bitter Gourd",18.00,16,3,15.00,250,FALSE,250
"Fruits & Vegetables","Brinjal Small",18.00,16,3,15.00,250,FALSE,250
"Fruits & Vegetables","Sweet Corn",36.00,16,3,30.00,116,FALSE,2
"Fruits & Vegetables","Spring Onion",18.00,16,3,15.00,250,FALSE,250
"Fruits & Vegetables","Bell Peppers Red & Yellow",118.00,16,3,99.00,116,FALSE,2
"Fruits & Vegetables",Pomegranate,106.00,16,3,89.00,116,FALSE,2
"Fruits & Vegetables","Sweet Lime",30.00,16,3,25.00,116,FALSE,2
"Fruits & Vegetables","Baby Potato",19.00,15,3,16.00,500,FALSE,500
"Fruits & Vegetables",Coccinia,32.00,15,3,27.00,250,FALSE,250
"Fruits & Vegetables",Guava,54.00,16,3,45.00,232,FALSE,4
"Fruits & Vegetables","Apple Washington",177.00,15,3,149.00,232,FALSE,4
"Fruits & Vegetables",Amla,32.00,15,3,27.00,250,FALSE,250
"Fruits & Vegetables","Beans Cluster",30.00,16,3,25.00,250,FALSE,250
"Fruits & Vegetables","Apple Royal Gala",189.00,15,3,159.00,232,FALSE,4
"Fruits & Vegetables","Chilli Bhaji",30.00,16,3,25.00,250,FALSE,250
"Fruits & Vegetables","Lettuce Green",23.00,17,3,19.00,100,FALSE,100
"Fruits & Vegetables","Baby Corn Peeled",35.00,17,3,29.00,250,FALSE,250
"Fruits & Vegetables","Mixed Sprouts",35.00,17,3,29.00,200,FALSE,200
"Fruits & Vegetables","Zucchini Green",35.00,17,3,29.00,250,FALSE,250
"Fruits & Vegetables","Beans Broad",42.00,16,3,35.00,250,FALSE,250
"Fruits & Vegetables","Raw Banana",20.00,15,6,17.00,500,FALSE,500
"Fruits & Vegetables",Colocasia,29.00,17,6,24.00,500,FALSE,500
"Fruits & Vegetables","Tomato Cherry",35.00,17,3,29.00,200,FALSE,200
"Fruits & Vegetables","Sweet Potato",38.00,15,3,32.00,500,FALSE,500
"Fruits & Vegetables","Pineapple Slice",89.00,15,3,75.00,200,FALSE,200
"Fruits & Vegetables",Orange,54.00,16,3,45.00,116,FALSE,2
"Fruits & Vegetables","Dragon Fruit Imported",70.00,15,3,59.00,58,FALSE,1
"Fruits & Vegetables","Zucchini Yellow",42.00,16,3,35.00,250,FALSE,500
"Fruits & Vegetables","Apple Kinnaur",142.00,16,6,119.00,232,FALSE,4
"Fruits & Vegetables",Pineapple,94.00,15,3,79.00,58,FALSE,1
"Fruits & Vegetables",Basil,20.00,15,3,17.00,100,FALSE,100
"Fruits & Vegetables",Parsley,17.00,17,3,14.00,100,FALSE,100
"Fruits & Vegetables","Ridge Gourd",30.00,16,3,25.00,500,FALSE,500
"Fruits & Vegetables","Papaya Cut",46.00,15,3,39.00,200,FALSE,200
"Fruits & Vegetables","Pomegranate Peeled",58.00,15,2,49.00,100,FALSE,100
"Fruits & Vegetables","Pear Green Imported",82.00,15,3,69.00,116,FALSE,2
"Fruits & Vegetables","Guava Thai",70.00,15,3,59.00,116,FALSE,2
"Fruits & Vegetables","Lettuce Red",20.00,15,3,17.00,100,FALSE,100
"Fruits & Vegetables","Mango Raw",60.00,16,3,50.00,500,FALSE,500
"Fruits & Vegetables","Biryani /Pulav Mix",58.00,15,3,49.00,250,FALSE,250
"Fruits & Vegetables","Banana Nendran",54.00,16,6,45.00,500,FALSE,500
"Fruits & Vegetables","Pumpkin Cut",30.00,16,3,25.00,200,FALSE,200
"Fruits & Vegetables","Banana Red",54.00,16,6,45.00,500,FALSE,500
"Fruits & Vegetables","Radish White",23.00,17,6,19.00,500,FALSE,500
"Fruits & Vegetables","Avocado Indian Premium",177.00,15,3,149.00,58,FALSE,1
"Fruits & Vegetables","Banana Leaf",12.00,16,2,10.00,58,FALSE,1
"Fruits & Vegetables","Sponge Gourd",25.00,16,2,21.00,300,FALSE,300
"Fruits & Vegetables","Zama Organics Carrot",20.00,15,3,17.00,250,FALSE,250
"Fruits & Vegetables","Safal Frozen - Mixed Vegetables",110.00,4,2,105.00,1000,FALSE,1
"Fruits & Vegetables","Zama Organics Sweet Potato",37.00,16,3,31.00,250,FALSE,250
"Fruits & Vegetables",Beetroot,16.00,18,3,13.00,500,FALSE,500
"Fruits & Vegetables",Capsicum,26.00,19,3,21.00,500,FALSE,500
"Fruits & Vegetables",Carrot,19.00,21,3,15.00,500,FALSE,500
"Fruits & Vegetables",Garlic,17.00,23,3,13.00,200,FALSE,200
